Record	REFERENCE	NAME	WATER_WELL_REF	Precision	LENGTH	YEAR_KNOWN	EASTING	NORTHING	SCAN_QUALITY	AGS_LOG_URL
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511259' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE195	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE CCTV12	N/A	undefined	9.95	1999	445330	366846	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224252' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE137	PINXTON-BARLBORO BHW423	N/A	undefined	15.85	1964	445142	366859	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224255' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE140	PINXTON-BARLBORO BHW426	N/A	undefined	15.54	1964	445256	366896	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224260' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE145	PINXTON-BARLBORO BHW440	N/A	undefined	28.35	1965	445330	366917	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224254' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE139	PINXTON-BARLBORO BHW425	N/A	undefined	17.98	1964	445211	366927	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224253' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE138	PINXTON-BARLBORO BHW424	N/A	undefined	15.54	1964	445163	366959	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224262' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE147	PINXTON-BARLBORO BHW441	N/A	undefined	36.58	1965	445338	366973	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224257' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE142	PINXTON-BARLBORO BHW428	N/A	undefined	20.42	1964	445245	366978	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913890' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE186	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1225	N/A	undefined	20.15	2006	445301	367033	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754037' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW162	PINXTON-BARLBORO BHW434	N/A	undefined	26.21	1965	444997	367155	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511273' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE209	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D141K	N/A	undefined	0.9	1999	445338	367215	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754036' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW161	PINXTON-BARLBORO BHW433/1	N/A	undefined	24.69	1965	444849	367242	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754035' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW160	PINXTON-BARLBORO BHW432	N/A	undefined	18.29	1965	444491	367256	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224192' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE88	TROWELL/BARLBOROUGH (M1) 609	N/A	undefined	7.62	1963	445340	366340	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224227' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE112	PINXTON-BARLBORO BHW355/2	N/A	undefined	9.14	1964	445301	366349	not Entered	null
